activity_time_id,employee_id,activity_id,activity_date,minutes,factor_value,notes_internal
1446,6,12,2025-07-29,480,1.0,
11744,6,12,2025-08-26,480,1.0,
126,6,12,2025-04-30,480,1.0,
124,6,12,2025-04-28,480,1.0,
994,6,12,2025-06-16,480,1.0,
646,6,12,2025-05-12,480,1.0,
632,6,12,2025-05-19,480,1.0,
111,6,12,2025-04-15,480,1.0,
647,6,12,2025-05-13,480,1.0,
578,4,14,2025-05-14,480,1.0,
11689,4,14,2025-08-06,480,1.0,
1144,4,14,2025-06-12,480,1.0,
573,4,14,2025-05-23,480,1.0,
1156,4,14,2025-06-24,480,1.0,
1136,4,14,2025-06-04,480,1.0,
1134,4,14,2025-06-02,480,1.0,
11690,4,14,2025-08-07,480,1.0,
11723,4,14,2025-08-26,480,1.0,
579,4,14,2025-05-15,480,1.0,
562,4,14,2025-05-26,480,1.0,
594,4,14,2025-05-09,480,1.0,
202,4,14,2025-04-29,480,1.0,
1131,4,14,2025-07-04,480,1.0,
590,4,14,2025-05-05,480,1.0,
1148,4,14,2025-06-16,480,1.0,
11691,4,14,2025-08-08,480,1.0,
571,4,14,2025-05-21,480,1.0,
1150,4,14,2025-06-18,480,1.0,
1151,4,14,2025-06-19,480,1.0,
1127,4,14,2025-06-30,480,1.0,
216,4,14,2025-04-15,480,1.0,
572,4,14,2025-05-22,480,1.0,
570,4,14,2025-05-20,480,1.0,
1128,4,14,2025-07-01,480,1.0,
1159,4,14,2025-06-27,480,1.0,
211,4,14,2025-04-24,480,1.0,
593,4,14,2025-05-08,480,1.0,
11725,4,14,2025-08-28,480,1.0,
201,4,14,2025-04-28,480,1.0,
569,4,14,2025-05-19,480,1.0,
212,4,14,2025-04-25,480,1.0,
11694,4,14,2025-08-11,480,1.0,
11722,4,14,2025-08-25,480,1.0,
1137,4,14,2025-06-05,480,1.0,
1149,4,14,2025-06-17,480,1.0,
11695,4,14,2025-08-12,480,1.0,
1129,4,14,2025-07-02,480,1.0,
1141,4,14,2025-06-09,480,1.0,
591,4,14,2025-05-06,480,1.0,
11710,4,14,2025-08-20,480,1.0,
11724,4,14,2025-08-27,480,1.0,
563,4,14,2025-05-27,480,1.0,
11726,4,14,2025-08-29,480,1.0,
1155,4,14,2025-06-23,480,1.0,
11708,4,14,2025-08-18,480,1.0,
1135,4,14,2025-06-03,480,1.0,
1143,4,14,2025-06-11,480,1.0,
1142,4,14,2025-06-10,480,1.0,
11697,4,14,2025-08-14,480,1.0,
576,4,14,2025-05-12,480,1.0,
217,4,14,2025-04-16,480,1.0,
564,4,14,2025-05-28,480,1.0,
1145,4,14,2025-06-13,480,1.0,
215,4,14,2025-04-14,480,1.0,
11696,4,14,2025-08-13,480,1.0,
577,4,14,2025-05-13,480,1.0,
1158,4,14,2025-06-26,480,1.0,
580,4,14,2025-05-16,480,1.0,
1130,4,14,2025-07-03,480,1.0,
11709,4,14,2025-08-19,480,1.0,
11711,4,14,2025-08-21,480,1.0,
608,9,15,2025-05-23,480,1.0,
1582,9,15,2025-08-18,480,1.0,
369,9,15,2025-05-08,480,1.0,
1218,9,15,2025-06-30,480,1.0,
1631,9,15,2025-08-25,480,1.0,
181,9,15,2025-04-15,480,1.0,
605,9,15,2025-05-20,480,1.0,
927,9,15,2025-06-19,480,1.0,
1635,9,15,2025-08-29,480,1.0,
166,9,15,2025-04-02,480,1.0,
613,9,15,2025-05-28,480,1.0,
176,9,15,2025-04-10,480,1.0,
180,9,15,2025-04-14,480,1.0,
368,9,15,2025-05-07,480,1.0,
962,9,15,2025-06-26,480,1.0,
615,9,15,2025-05-30,480,1.0,
165,9,15,2025-04-01,480,1.0,
196,9,15,2025-04-30,480,1.0,
1633,9,15,2025-08-27,480,1.0,
1516,9,15,2025-08-15,480,1.0,
1585,9,15,2025-08-21,480,1.0,
173,9,15,2025-04-07,480,1.0,
865,9,15,2025-06-13,480,1.0,
174,9,15,2025-04-08,480,1.0,
175,9,15,2025-04-09,480,1.0,
190,9,15,2025-04-24,480,1.0,
963,9,15,2025-06-27,480,1.0,
401,9,15,2025-05-12,480,1.0,
833,9,15,2025-06-02,480,1.0,
191,9,15,2025-04-25,480,1.0,
861,9,15,2025-06-09,480,1.0,
366,9,15,2025-05-05,480,1.0,
926,9,15,2025-06-18,480,1.0,
167,9,15,2025-04-03,480,1.0,
1632,9,15,2025-08-26,480,1.0,
924,9,15,2025-06-16,480,1.0,
959,9,15,2025-06-23,480,1.0,
